epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,803.579,2.27049,2.06771,1.84116,0.95318,0.88833,0.95003,0.69199,0.96299,0.70016,1.04597,0.00666442,0.00666442,0.0733423
2,1557.23,1.0728,0.75988,1.08968,0.98869,0.95958,0.98834,0.79081,0.72475,0.44588,0.93904,0.0133107,0.0133107,0.0466553
3,2298.16,0.92987,0.60916,1.02246,0.98718,0.97401,0.99245,0.81716,0.65337,0.37377,0.90556,0.0198759,0.0198759,0.0198871
4,3031.66,0.84561,0.53432,0.987,0.99299,0.98817,0.99483,0.83768,0.61374,0.32113,0.88613,0.0197265,0.0197265,0.0197265
5,3790.84,0.793,0.47948,0.96603,0.99677,0.98846,0.99483,0.84847,0.58458,0.29536,0.87303,0.0195155,0.0195155,0.0195155
6,4537.7,0.76243,0.45144,0.95583,0.99658,0.99101,0.99496,0.85211,0.57316,0.27992,0.86827,0.0192464,0.0192464,0.0192464
7,5273.53,0.73733,0.42976,0.94438,0.99713,0.99317,0.99498,0.85921,0.55679,0.26737,0.86206,0.018921,0.018921,0.018921
8,6009.62,0.72264,0.41395,0.93933,0.9973,0.9945,0.99495,0.86153,0.54948,0.25958,0.85888,0.0185411,0.0185411,0.0185411
9,6745.68,0.71495,0.40605,0.93665,0.99836,0.99283,0.99496,0.86575,0.53817,0.25372,0.85451,0.0181093,0.0181093,0.0181093
10,7482.77,0.70264,0.39553,0.93086,0.99888,0.9939,0.99499,0.86548,0.53394,0.2467,0.85259,0.017628,0.017628,0.017628
11,8218.28,0.69363,0.38619,0.93083,0.99794,0.99511,0.99497,0.86803,0.52798,0.24168,0.85049,0.0171004,0.0171004,0.0171004
12,8950.9,0.68515,0.37886,0.92576,0.99817,0.99489,0.99499,0.86953,0.52497,0.23891,0.84943,0.0165295,0.0165295,0.0165295
13,9684.85,0.68085,0.3728,0.92433,0.99745,0.99682,0.99499,0.87175,0.51911,0.23406,0.84723,0.0159191,0.0159191,0.0159191
14,10418.8,0.6738,0.36792,0.92196,0.99826,0.99683,0.99499,0.87181,0.51808,0.23229,0.84693,0.0152727,0.0152727,0.0152727
15,11152.4,0.66475,0.3589,0.91815,0.99801,0.9965,0.99499,0.87256,0.5157,0.23012,0.84595,0.0145945,0.0145945,0.0145945
16,11884.7,0.66175,0.35592,0.91687,0.998,0.9965,0.995,0.87413,0.51396,0.22765,0.84479,0.0138886,0.0138886,0.0138886
17,12622.5,0.65388,0.34961,0.915,0.99716,0.99804,0.995,0.87428,0.51184,0.22565,0.84394,0.0131593,0.0131593,0.0131593
18,13358.2,0.65072,0.34561,0.91333,0.99744,0.99762,0.99499,0.87466,0.50987,0.2244,0.84311,0.0124111,0.0124111,0.0124111
19,14092,0.64506,0.34215,0.91221,0.99841,0.99745,0.99499,0.87518,0.50845,0.22326,0.84253,0.0116487,0.0116487,0.0116487
20,14828.6,0.64122,0.33668,0.9103,0.99843,0.99754,0.99499,0.87571,0.50674,0.22217,0.84195,0.0108767,0.0108767,0.0108767
21,15570.3,0.6352,0.33095,0.9079,0.99846,0.99751,0.99499,0.87631,0.50595,0.22076,0.84159,0.0101,0.0101,0.0101
22,16304.8,0.62928,0.32633,0.90505,0.99833,0.9972,0.99499,0.87662,0.50504,0.21991,0.84121,0.00932325,0.00932325,0.00932325
23,17038.9,0.62474,0.32274,0.90524,0.99872,0.99638,0.99499,0.87631,0.50412,0.21897,0.84086,0.0085513,0.0085513,0.0085513
24,17774.5,0.62032,0.3179,0.90383,0.99872,0.99639,0.99499,0.87621,0.5035,0.21845,0.84057,0.00778889,0.00778889,0.00778889
25,18512.6,0.61677,0.31412,0.9026,0.99883,0.9965,0.99499,0.87632,0.50297,0.21778,0.84031,0.00704073,0.00704073,0.00704073
26,19250.9,0.60915,0.30788,0.89936,0.99887,0.99645,0.99499,0.87597,0.50258,0.21733,0.8401,0.00631143,0.00631143,0.00631143
27,19987.9,0.60628,0.30386,0.8972,0.999,0.99662,0.99499,0.876,0.50222,0.21669,0.83992,0.00560549,0.00560549,0.00560549
28,20725.2,0.59947,0.29961,0.89527,0.999,0.99669,0.99499,0.87776,0.50175,0.21611,0.83965,0.00492726,0.00492726,0.00492726
29,21462.7,0.59498,0.29522,0.89527,0.999,0.99675,0.99499,0.8778,0.5013,0.21535,0.83946,0.00428093,0.00428093,0.00428093
30,22199.1,0.59104,0.29068,0.89403,0.99895,0.99683,0.99499,0.87803,0.50082,0.21456,0.83929,0.00367046,0.00367046,0.00367046
31,23032.2,0.52909,0.24106,0.86963,0.99894,0.99687,0.99499,0.87809,0.50031,0.21391,0.83913,0.00309964,0.00309964,0.00309964
32,23769.9,0.52249,0.23459,0.86665,0.99888,0.99697,0.99499,0.878,0.49956,0.21307,0.83886,0.00257198,0.00257198,0.00257198
33,24499.9,0.51802,0.23122,0.86548,0.99903,0.99722,0.99499,0.87856,0.49888,0.21249,0.8386,0.00209073,0.00209073,0.00209073
34,25226.8,0.51315,0.22604,0.86309,0.99898,0.99733,0.99499,0.87876,0.49819,0.21172,0.83833,0.00165886,0.00165886,0.00165886
35,25956.1,0.50981,0.22287,0.86176,0.99881,0.99717,0.99499,0.87849,0.49752,0.21102,0.83807,0.00127904,0.00127904,0.00127904
36,26684.1,0.50616,0.21953,0.85849,0.99878,0.99717,0.99499,0.87869,0.4969,0.21026,0.83781,0.000953593,0.000953593,0.000953593
37,27410.9,0.50406,0.21711,0.85879,0.99877,0.99717,0.99499,0.87996,0.49625,0.20917,0.83758,0.00068454,0.00068454,0.00068454
38,28136.9,0.50133,0.21475,0.85696,0.99885,0.99695,0.99499,0.88001,0.49568,0.20838,0.83735,0.000473538,0.000473538,0.000473538
39,28861.2,0.49981,0.2129,0.85799,0.99884,0.99696,0.99499,0.8806,0.49516,0.20769,0.83713,0.000321885,0.000321885,0.000321885
40,29589.4,0.49805,0.21177,0.85734,0.99876,0.99693,0.99499,0.88094,0.49464,0.2071,0.83692,0.000230518,0.000230518,0.000230518
